class,acres,abvgc,soilc,noemit,net,year,best_abvg,best_soil,best_overall,worst_n2o
Fallow,2360.415122312824,0,28313.669268,0,28313.669268,2016,0,11.995207538010176,11.995207538010176,0
Fodder,3641.3639733135656,4464.9488742739195,61130.261079,396.2391066124907,65595.20995327392,2016,1.2261748364063998,16.7877371026365,18.0139119390429,0.10881612206755627
Greenhouse,1937.2127501853224,0,19398.359709,0,19398.359709,2016,0,10.013541211281138,10.013541211281138,0
Orchard,13800.444773906598,115610.32799999998,224186.049171,2825.196656232843,339796.377171,2016,8.377289999999999,16.244842310798795,24.622132310798793,0.2047177973259693
Pastureland,2541.2157153446997,3115.9747640361597,48735.97324200001,276.52523948094114,51851.94800603617,2016,1.2261748364064,19.178211809299032,20.404386645705433,0.10881612206755625
Row Crop,75847.2942920682,62001.36244696331,1055421.5305409997,30697.443280974217,1117422.892987963,2016,0.8174498909376015,13.91508478175696,14.732534672694563,0.4047269394049358
Vineyard,29095.552260934026,34147.41299999996,483679.28844900004,1725.9793429923552,517826.701449,2016,1.1736299999999984,16.623822229297424,17.797452229297424,0.05932107174022576
Fallow,2360.415122312824,0,28313.669268,0,28313.669268,2016,0,11.995207538010176,11.995207538010176,0
Fodder,3641.3639733135656,4464.9488742739195,61130.261079,396.2391066124907,65595.20995327392,2016,1.2261748364063998,16.7877371026365,18.0139119390429,0.10881612206755627
Greenhouse,1937.2127501853224,0,19398.359709,0,19398.359709,2016,0,10.013541211281138,10.013541211281138,0
Orchard,13800.444773906598,115610.32799999998,224186.049171,2825.196656232843,339796.377171,2016,8.377289999999999,16.244842310798795,24.622132310798793,0.2047177973259693
Pastureland,2541.2157153446997,3115.9747640361597,48735.97324200001,276.52523948094114,51851.94800603617,2016,1.2261748364064,19.178211809299032,20.404386645705433,0.10881612206755625
Row Crop,75847.2942920682,62001.36244696331,1055421.5305409997,30697.443280974217,1117422.892987963,2016,0.8174498909376015,13.91508478175696,14.732534672694563,0.4047269394049358
Vineyard,29095.552260934026,34147.41299999996,483679.28844900004,1725.9793429923552,517826.701449,2016,1.1736299999999984,16.623822229297424,17.797452229297424,0.05932107174022576
Rangeland,586047,8780784.995913528,6185542.207225488,0,14966327.203139015,2016,14.98307302300588,10.554686240566861,25.53775926357274,0
